# ecutwfc_Ry  alat_A  ecutrho_Ry  total_energy_Ry  total_energy_per_fu_Ry_fu  converged  iterations  wall_time
60          12.13   600         -827.7403264     -206.9350816000            yes        12          1m41.85s
60          12.12   600         -827.74063601    -206.9351590025            yes        12          1m43.51s
60          12.11   600         -827.74094282    -206.9352357050            yes        12          1m51.55s
60          12.09   600         -827.74154687    -206.9353867175            yes        12          1m53.46s
60          12.08   600         -827.74184446    -206.9354611150            yes        12          1m51.19s
60          12.07   600         -827.74213891    -206.9355347275            yes        12          1m51.17s
60          12.06   600         -827.74243012    -206.9356075300            yes        12          1m48.40s
60          12.04   600         -827.74300079    -206.9357501975            yes        12          1m48.92s
60          12.03   600         -827.74328117    -206.9358202925            yes        12          1m53.52s
60          12.02   600         -827.74355763    -206.9358894075            yes        12          1m51.80s
60          12.01   600         -827.74382983    -206.9359574575            yes        12          1m52.02s
60          11.99   600         -827.74436258    -206.9360906450            yes        12          1m51.74s
60          11.98   600         -827.74462222    -206.9361555550            yes        12          1m49.36s
